Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Maine,US,9/20/2020 4:30,44.6939,-69.3819,5034,139,4346,549,23,374.4944994,371187,,2.761223679,84000023,USA,27613.72462,
Maryland,US,9/20/2020 4:30,39.0639,-76.8021,119744,3876,7374,108494,24,1980.653955,1518804,,3.236905398,84000024,USA,25122.1368,
Massachusetts,US,9/20/2020 4:30,42.2302,-71.5301,127181,9295,109397,8489,25,1845.207757,3337292,,7.308481613,84000025,USA,48419.15919,
Michigan,US,9/20/2020 4:30,43.3266,-84.5361,128087,6969,90216,30902,26,1282.555663,3318469,,5.440833184,84000026,USA,33228.36204,
Minnesota,US,9/20/2020 4:30,45.6945,-93.9002,88721,2015,80407,6299,27,1573.170022,1815774,,2.271164662,84000027,USA,32196.67524,
Mississippi,US,9/20/2020 4:30,32.7416,-89.6787,93087,2809,78971,11307,28,3127.766789,702886,,3.017607185,84000028,USA,23617.29873,
Missouri,US,9/20/2020 4:30,38.4561,-92.2884,112864,1825,,111039,29,1838.946217,1202624,,1.61699036,84000029,USA,19594.91826,
Montana,US,9/20/2020 4:30,46.9219,-110.4544,10163,156,7553,2454,30,950.8990642,300840,,1.534979829,84000030,USA,28148.03448,
Nebraska,US,9/20/2020 4:30,41.1254,-98.2681,40797,442,30509,9846,31,2109.017332,419995,,1.083412996,84000031,USA,21711.81054,
Nevada,US,9/20/2020 4:30,38.3135,-117.0554,75419,1528,2012,71879,32,2448.544814,660686,,2.026014665,84000032,USA,21449.75774,
New Hampshire,US,9/20/2020 4:30,43.4525,-71.5639,7920,438,7164,318,33,582.4767175,393166,,5.53030303,84000033,USA,28915.40923,
New Jersey,US,9/20/2020 4:30,40.2989,-74.521,199309,16064,34601,148644,34,2243.917322,3292377,,8.059846771,84000034,USA,37067.176,
New Mexico,US,9/20/2020 4:30,34.8405,-106.2485,27512,847,15256,11409,35,1312.076474,850963,,3.078656586,84000035,USA,40583.32844,
New York,US,9/20/2020 4:30,42.1657,-74.9481,449038,33081,76101,339856,36,2308.256057,9822091,,7.367082519,84000036,USA,50489.93858,
North Carolina,US,9/20/2020 4:30,35.6301,-79.8064,192247,3235,167257,21755,37,1833.004007,2771020,,1.68273107,84000037,USA,26420.65033,
North Dakota,US,9/20/2020 4:30,47.5289,-99.784,17607,192,14319,3096,38,2310.441933,556862,,1.090475379,84000038,USA,73073.05705,
Ohio,US,9/20/2020 4:30,40.3888,-82.7649,143547,4612,121911,17024,39,1228.041509,2788695,,3.212884978,84000039,USA,23857.22596,
Oklahoma,US,9/20/2020 4:30,35.5653,-96.9289,75804,943,63960,10901,40,1915.707747,1071501,,1.243997678,84000040,USA,27078.81862,
Oregon,US,9/20/2020 4:30,44.572,-122.0709,30599,525,5391,24683,41,719.3905168,633910,,1.71709182,84000041,USA,15029.62371,
Pennsylvania,US,9/20/2020 4:30,40.5908,-77.2098,154236,7940,122872,23424,42,1204.781538,1896125,,5.147955082,84000042,USA,14811.17504,
Rhode Island,US,9/20/2020 4:30,41.6809,-71.5118,23620,1088,2244,20288,44,2229.645985,675108,,4.606265876,84000044,USA,63727.85103,
South Carolina,US,9/20/2020 4:30,33.8569,-80.945,137240,3188,51431,82621,45,2665.519973,1123265,,2.322937919,84000045,USA,21816.41862,
South Dakota,US,9/20/2020 4:30,44.2998,-99.4388,18444,200,15298,2946,46,2084.87112,175221,,1.084363479,84000046,USA,19806.61475,
Tennessee,US,9/20/2020 4:30,35.7478,-86.6923,181439,2216,164982,14241,47,2656.82204,2627087,,1.221347119,84000047,USA,38468.59078,
Texas,US,9/20/2020 4:30,31.0545,-97.5635,707940,15051,605522,87367,48,2441.519194,5563176,,2.126027629,84000048,USA,19186.0906,
Utah,US,9/20/2020 4:30,40.15,-111.8624,62852,440,50957,11455,49,1960.474841,751950,,0.700057277,84000049,USA,23454.76765,
